    i,        x,     lat,   solar_mon
    1, -0.99750, -85.948, 1.737092E+02
    2, -0.99250, -82.978, 1.755807E+02
    3, -0.98750, -80.931, 1.774785E+02
    4, -0.98250, -79.265, 1.794077E+02
    5, -0.97750, -77.823, 1.813676E+02
    6, -0.97250, -76.532, 1.833589E+02
    7, -0.96750, -75.353, 1.853821E+02
    8, -0.96250, -74.259, 1.874381E+02
    9, -0.95750, -73.236, 1.895315E+02
   10, -0.95250, -72.270, 1.916628E+02
   11, -0.94750, -71.352, 1.938338E+02
   12, -0.94250, -70.476, 1.960483E+02
   13, -0.93750, -69.636, 1.983112E+02
   14, -0.93250, -68.828, 2.006288E+02
   15, -0.92750, -68.048, 2.030085E+02
   16, -0.92250, -67.294, 2.054702E+02
   17, -0.91750, -66.563, 2.080461E+02
   18, -0.91250, -65.853, 2.107760E+02
   19, -0.90750, -65.162, 2.135901E+02
   20, -0.90250, -64.489, 2.164412E+02
   21, -0.89750, -63.831, 2.193017E+02
   22, -0.89250, -63.189, 2.221573E+02
   23, -0.88750, -62.561, 2.250004E+02
   24, -0.88250, -61.945, 2.278233E+02
   25, -0.87750, -61.342, 2.306217E+02
   26, -0.87250, -60.750, 2.333924E+02
   27, -0.86750, -60.169, 2.361330E+02
   28, -0.86250, -59.598, 2.388424E+02
   29, -0.85750, -59.037, 2.415191E+02
   30, -0.85250, -58.485, 2.441626E+02
   31, -0.84750, -57.941, 2.467725E+02
   32, -0.84250, -57.405, 2.493487E+02
   33, -0.83750, -56.877, 2.518913E+02
   34, -0.83250, -56.356, 2.544004E+02
   35, -0.82750, -55.843, 2.568762E+02
   36, -0.82250, -55.336, 2.593190E+02
   37, -0.81750, -54.835, 2.617289E+02
   38, -0.81250, -54.341, 2.641067E+02
   39, -0.80750, -53.852, 2.664528E+02
   40, -0.80250, -53.370, 2.687677E+02
   41, -0.79750, -52.892, 2.710517E+02
   42, -0.79250, -52.420, 2.733055E+02
   43, -0.78750, -51.952, 2.755293E+02
   44, -0.78250, -51.490, 2.777238E+02
   45, -0.77750, -51.032, 2.798893E+02
   46, -0.77250, -50.579, 2.820265E+02
   47, -0.76750, -50.130, 2.841360E+02
   48, -0.76250, -49.685, 2.862180E+02
   49, -0.75750, -49.244, 2.882730E+02
   50, -0.75250, -48.807, 2.903011E+02
   51, -0.74750, -48.374, 2.923033E+02
   52, -0.74250, -47.945, 2.942799E+02
   53, -0.73750, -47.519, 2.962313E+02
   54, -0.73250, -47.096, 2.981579E+02
   55, -0.72750, -46.677, 3.000601E+02
   56, -0.72250, -46.261, 3.019384E+02
   57, -0.71750, -45.848, 3.037928E+02
   58, -0.71250, -45.439, 3.056241E+02
   59, -0.70750, -45.032, 3.074325E+02
   60, -0.70250, -44.628, 3.092183E+02
   61, -0.69750, -44.227, 3.109819E+02
   62, -0.69250, -43.828, 3.127235E+02
   63, -0.68750, -43.433, 3.144438E+02
   64, -0.68250, -43.039, 3.161429E+02
   65, -0.67750, -42.649, 3.178211E+02
