    i,        x,     lat,         t2m
    1, -0.99750, -85.948, 2.337465E+02
    2, -0.99250, -82.978, 2.373945E+02
    3, -0.98750, -80.931, 2.376473E+02
    4, -0.98250, -79.265, 2.378174E+02
    5, -0.97750, -77.823, 2.392304E+02
    6, -0.97250, -76.532, 2.409177E+02
    7, -0.96750, -75.353, 2.433811E+02
    8, -0.96250, -74.259, 2.454820E+02
    9, -0.95750, -73.236, 2.477682E+02
   10, -0.95250, -72.270, 2.500514E+02
   11, -0.94750, -71.352, 2.526601E+02
   12, -0.94250, -70.476, 2.546626E+02
   13, -0.93750, -69.636, 2.567222E+02
   14, -0.93250, -68.828, 2.587525E+02
   15, -0.92750, -68.048, 2.609188E+02
   16, -0.92250, -67.294, 2.630846E+02
   17, -0.91750, -66.563, 2.648864E+02
   18, -0.91250, -65.853, 2.660840E+02
   19, -0.90750, -65.162, 2.670198E+02
   20, -0.90250, -64.489, 2.678983E+02
   21, -0.89750, -63.831, 2.687793E+02
   22, -0.89250, -63.189, 2.695783E+02
   23, -0.88750, -62.561, 2.702698E+02
   24, -0.88250, -61.945, 2.708844E+02
   25, -0.87750, -61.342, 2.714474E+02
   26, -0.87250, -60.750, 2.719753E+02
   27, -0.86750, -60.169, 2.724638E+02
   28, -0.86250, -59.598, 2.729157E+02
   29, -0.85750, -59.037, 2.733422E+02
   30, -0.85250, -58.485, 2.737466E+02
   31, -0.84750, -57.941, 2.741322E+02
   32, -0.84250, -57.405, 2.745029E+02
   33, -0.83750, -56.877, 2.748611E+02
   34, -0.83250, -56.356, 2.752102E+02
   35, -0.82750, -55.843, 2.755507E+02
   36, -0.82250, -55.336, 2.758643E+02
   37, -0.81750, -54.835, 2.761474E+02
   38, -0.81250, -54.341, 2.764351E+02
   39, -0.80750, -53.852, 2.767377E+02
   40, -0.80250, -53.370, 2.770370E+02
   41, -0.79750, -52.892, 2.773267E+02
   42, -0.79250, -52.420, 2.776100E+02
   43, -0.78750, -51.952, 2.778886E+02
   44, -0.78250, -51.490, 2.781654E+02
   45, -0.77750, -51.032, 2.784427E+02
   46, -0.77250, -50.579, 2.787256E+02
   47, -0.76750, -50.130, 2.790213E+02
   48, -0.76250, -49.685, 2.793266E+02
   49, -0.75750, -49.244, 2.796332E+02
   50, -0.75250, -48.807, 2.799409E+02
   51, -0.74750, -48.374, 2.802538E+02
   52, -0.74250, -47.945, 2.805727E+02
   53, -0.73750, -47.519, 2.808936E+02
   54, -0.73250, -47.096, 2.812139E+02
   55, -0.72750, -46.677, 2.815291E+02
   56, -0.72250, -46.261, 2.818288E+02
   57, -0.71750, -45.848, 2.821146E+02
   58, -0.71250, -45.439, 2.824092E+02
   59, -0.70750, -45.032, 2.827189E+02
   60, -0.70250, -44.628, 2.830391E+02
   61, -0.69750, -44.227, 2.833636E+02
   62, -0.69250, -43.828, 2.836915E+02
   63, -0.68750, -43.433, 2.840158E+02
   64, -0.68250, -43.039, 2.843349E+02
   65, -0.67750, -42.649, 2.846459E+02
   66, -0.67250, -42.260, 2.849443E+02
   67, -0.66750, -41.874, 2.852315E+02
   68, -0.66250, -41.491, 2.855301E+02
   69, -0.65750, -41.109, 2.858473E+02
   70, -0.65250, -40.730, 2.861724E+02
   71, -0.64750, -40.353, 2.864755E+02
   72, -0.64250, -39.978, 2.867548E+02
   73, -0.63750, -39.606, 2.870172E+02
   74, -0.63250, -39.235, 2.872685E+02
   75, -0.62750, -38.866, 2.875086E+02
   76, -0.62250, -38.499, 2.877372E+02
   77, -0.61750, -38.134, 2.879539E+02
   78, -0.61250, -37.770, 2.881624E+02
   79, -0.60750, -37.409, 2.883754E+02
   80, -0.60250, -37.049, 2.885943E+02
   81, -0.59750, -36.691, 2.888169E+02
