year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1750,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.30,0.30
1751,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.20,0.08,0.00,0.01,-0.00,0.01,0.28,0.29
1752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,0.20,0.05,0.00,0.01,-0.00,0.01,0.25,0.26
1753,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.20,0.01,0.00,0.01,-0.00,0.01,0.21,0.22
1754,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.20,-0.02,0.00,-0.00,-0.00,0.01,0.18,0.18
1755,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.17,-0.05,0.00,0.00,-0.00,0.01,0.13,0.14
1756,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.08,-0.05,0.00,0.00,-0.00,0.02,-0.13,-0.11
1757,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.00,0.07,-0.03,0.00,-0.01,-0.00,0.01,0.03,0.04
1758,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.15,0.02,0.00,-0.00,-0.00,0.02,0.17,0.19
1759,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.18,0.07,0.01,-0.00,-0.00,0.02,0.25,0.27
1760,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,0.00,-0.00,0.19,0.09,0.01,-0.01,-0.00,0.01,0.29,0.30
1761,0.02,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,0.00,-0.00,0.20,0.09,0.01,-0.01,-0.00,0.02,0.28,0.30
1762,0.02,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.81,0.06,0.01,-0.00,-0.00,0.02,-0.74,-0.72
1763,0.02,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.50,0.03,0.01,-0.00,-0.00,0.03,-0.46,-0.44
1764,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,-0.05,-0.01,0.01,0.01,-0.00,0.04,-0.06,-0.02
1765,0.02,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.12,-0.04,0.01,-0.01,-0.00,0.03,0.08,0.11
1766,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.20,-0.05,0.01,0.00,-0.00,0.04,-0.25,-0.22
1767,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.26,-0.04,0.01,0.00,-0.00,0.04,-0.30,-0.26
1768,0.03,0.01,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.00,0.03,0.02,0.01,-0.01,-0.00,0.03,0.05,0.07
1769,0.03,0.01,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.00,0.14,0.09,0.01,-0.01,-0.00,0.03,0.23,0.26
1770,0.03,0.01,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.00,0.03,0.12,0.01,-0.01,-0.00,0.04,0.15,0.19
1771,0.03,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,0.09,0.11,0.01,0.00,-0.00,0.05,0.20,0.25
1772,0.03,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,-0.01,0.16,0.09,0.01,0.01,-0.00,0.05,0.25,0.30
1773,0.03,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.19,0.05,0.01,0.00,-0.00,0.05,0.24,0.29
1774,0.03,0.01,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.01,0.20,0.01,0.01,-0.01,-0.00,0.04,0.21,0.25
1775,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.00,-0.01,0.20,-0.03,0.01,-0.00,-0.00,0.05,0.17,0.22
1776,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.20,-0.05,0.02,0.00,-0.00,0.06,0.15,0.21
1777,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.20,-0.04,0.02,-0.00,-0.00,0.05,0.16,0.21
1778,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.20,0.00,0.02,-0.01,-0.00,0.05,0.20,0.25
1779,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.00,-0.01,0.20,0.07,0.02,-0.00,-0.00,0.06,0.27,0.33
1780,0.04,0.02,0.00,0.00,0.01,0.00,0.00,-0.00,-0.01,0.00,-0.01,0.20,0.12,0.02,-0.01,-0.00,0.05,0.32,0.37
1781,0.04,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.20,0.12,0.02,-0.01,-0.00,0.06,0.32,0.38
1782,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.20,0.09,0.02,-0.01,-0.00,0.06,0.29,0.35
