    i,        x,     lat,         t2m
1,-0.9975,-85.948,2.34E+02
2,-0.9925,-82.978,2.37E+02
3,-0.9875,-80.931,2.38E+02
4,-0.9825,-79.265,2.38E+02
5,-0.9775,-77.823,2.39E+02
6,-0.9725,-76.532,2.41E+02
7,-0.9675,-75.353,2.43E+02
8,-0.9625,-74.259,2.45E+02
9,-0.9575,-73.236,2.48E+02
10,-0.9525,-72.27,2.50E+02
11,-0.9475,-71.352,2.53E+02
12,-0.9425,-70.476,2.55E+02
13,-0.9375,-69.636,2.57E+02
14,-0.9325,-68.828,2.59E+02
15,-0.9275,-68.048,2.61E+02
16,-0.9225,-67.294,2.63E+02
17,-0.9175,-66.563,2.65E+02
18,-0.9125,-65.853,2.66E+02
19,-0.9075,-65.162,2.67E+02
20,-0.9025,-64.489,2.68E+02
21,-0.8975,-63.831,2.69E+02
22,-0.8925,-63.189,2.70E+02
23,-0.8875,-62.561,2.70E+02
24,-0.8825,-61.945,2.71E+02
25,-0.8775,-61.342,2.71E+02
26,-0.8725,-60.75,2.72E+02
27,-0.8675,-60.169,2.72E+02
28,-0.8625,-59.598,2.73E+02
29,-0.8575,-59.037,2.73E+02
30,-0.8525,-58.485,2.74E+02
31,-0.8475,-57.941,2.74E+02
32,-0.8425,-57.405,2.75E+02
33,-0.8375,-56.877,2.75E+02
34,-0.8325,-56.356,2.75E+02
35,-0.8275,-55.843,2.76E+02
36,-0.8225,-55.336,2.76E+02
37,-0.8175,-54.835,2.76E+02
38,-0.8125,-54.341,2.76E+02
39,-0.8075,-53.852,2.77E+02
40,-0.8025,-53.37,2.77E+02
41,-0.7975,-52.892,2.77E+02
42,-0.7925,-52.42,2.78E+02
43,-0.7875,-51.952,2.78E+02
44,-0.7825,-51.49,2.78E+02
45,-0.7775,-51.032,2.78E+02
46,-0.7725,-50.579,2.79E+02
47,-0.7675,-50.13,2.79E+02
48,-0.7625,-49.685,2.79E+02
49,-0.7575,-49.244,2.80E+02
50,-0.7525,-48.807,2.80E+02
51,-0.7475,-48.374,2.80E+02
52,-0.7425,-47.945,2.81E+02
53,-0.7375,-47.519,2.81E+02
54,-0.7325,-47.096,2.81E+02
55,-0.7275,-46.677,2.82E+02
56,-0.7225,-46.261,2.82E+02
57,-0.7175,-45.848,2.82E+02
58,-0.7125,-45.439,2.82E+02
59,-0.7075,-45.032,2.83E+02
60,-0.7025,-44.628,2.83E+02
61,-0.6975,-44.227,2.83E+02
62,-0.6925,-43.828,2.84E+02
63,-0.6875,-43.433,2.84E+02
64,-0.6825,-43.039,2.84E+02
65,-0.6775,-42.649,2.85E+02
66,-0.6725,-42.26,2.85E+02
67,-0.6675,-41.874,2.85E+02
68,-0.6625,-41.491,2.86E+02
69,-0.6575,-41.109,2.86E+02
70,-0.6525,-40.73,2.86E+02
71,-0.6475,-40.353,2.86E+02
72,-0.6425,-39.978,2.87E+02
73,-0.6375,-39.606,2.87E+02
74,-0.6325,-39.235,2.87E+02
75,-0.6275,-38.866,2.88E+02
