    i,        x,     lat,         lsm
    1, -0.99750, -85.948, 9.999986E-01
    2, -0.99250, -82.978, 9.999991E-01
    3, -0.98750, -80.931, 9.999993E-01
    4, -0.98250, -79.265, 9.999998E-01
    5, -0.97750, -77.823, 9.017380E-01
    6, -0.97250, -76.532, 8.065837E-01
    7, -0.96750, -75.353, 7.606424E-01
    8, -0.96250, -74.259, 6.898865E-01
    9, -0.95750, -73.236, 6.297998E-01
   10, -0.95250, -72.270, 5.739163E-01
   11, -0.94750, -71.352, 5.393304E-01
   12, -0.94250, -70.476, 5.084368E-01
   13, -0.93750, -69.636, 3.905764E-01
   14, -0.93250, -68.828, 3.301773E-01
   15, -0.92750, -68.048, 2.781813E-01
   16, -0.92250, -67.294, 2.292415E-01
   17, -0.91750, -66.563, 1.358208E-01
   18, -0.91250, -65.853, 4.392112E-02
   19, -0.90750, -65.162, 1.516773E-02
   20, -0.90250, -64.489, 1.011039E-02
   21, -0.89750, -63.831, 5.780752E-03
   22, -0.89250, -63.189, 3.109798E-03
   23, -0.88750, -62.561, 1.376433E-03
   24, -0.88250, -61.945, 1.297547E-03
   25, -0.87750, -61.342, 5.840260E-04
   26, -0.87250, -60.750, 2.541133E-04
   27, -0.86750, -60.169,-4.676270E-05
   28, -0.86250, -59.598, 3.688115E-05
   29, -0.85750, -59.037, 2.754070E-05
   30, -0.85250, -58.485, 1.848966E-05
   31, -0.84750, -57.941, 1.091076E-05
   32, -0.84250, -57.405,-2.514065E-06
   33, -0.83750, -56.877, 7.721430E-06
   34, -0.83250, -56.356, 1.630298E-05
   35, -0.82750, -55.843, 5.577163E-04
   36, -0.82250, -55.336, 3.566811E-03
   37, -0.81750, -54.835, 1.326717E-02
   38, -0.81250, -54.341, 1.390926E-02
   39, -0.80750, -53.852, 1.144108E-02
   40, -0.80250, -53.370, 1.028491E-02
   41, -0.79750, -52.892, 1.046803E-02
   42, -0.79250, -52.420, 1.214499E-02
   43, -0.78750, -51.952, 1.772259E-02
   44, -0.78250, -51.490, 1.791419E-02
   45, -0.77750, -51.032, 1.459260E-02
   46, -0.77250, -50.579, 1.531999E-02
   47, -0.76750, -50.130, 1.715025E-02
   48, -0.76250, -49.685, 2.056762E-02
   49, -0.75750, -49.244, 2.342040E-02
   50, -0.75250, -48.807, 2.139969E-02
   51, -0.74750, -48.374, 2.290228E-02
   52, -0.74250, -47.945, 2.360469E-02
   53, -0.73750, -47.519, 2.366559E-02
   54, -0.73250, -47.096, 2.296333E-02
   55, -0.72750, -46.677, 2.220358E-02
   56, -0.72250, -46.261, 2.674790E-02
   57, -0.71750, -45.848, 3.002820E-02
