    i,        x,     lat,toa_lw_all_mon
    1, -0.99750, -85.948, 1.508854E+02
    2, -0.99250, -82.978, 1.574050E+02
    3, -0.98750, -80.931, 1.579739E+02
    4, -0.98250, -79.265, 1.579985E+02
    5, -0.97750, -77.823, 1.592813E+02
    6, -0.97250, -76.532, 1.614506E+02
    7, -0.96750, -75.353, 1.643725E+02
    8, -0.96250, -74.259, 1.670237E+02
    9, -0.95750, -73.236, 1.700750E+02
   10, -0.95250, -72.270, 1.734852E+02
   11, -0.94750, -71.352, 1.768713E+02
   12, -0.94250, -70.476, 1.794346E+02
   13, -0.93750, -69.636, 1.824411E+02
   14, -0.93250, -68.828, 1.852226E+02
   15, -0.92750, -68.048, 1.878265E+02
   16, -0.92250, -67.294, 1.902216E+02
   17, -0.91750, -66.563, 1.922138E+02
   18, -0.91250, -65.853, 1.937515E+02
   19, -0.90750, -65.162, 1.950208E+02
   20, -0.90250, -64.489, 1.961568E+02
   21, -0.89750, -63.831, 1.972594E+02
   22, -0.89250, -63.189, 1.982901E+02
   23, -0.88750, -62.561, 1.992430E+02
   24, -0.88250, -61.945, 2.001530E+02
   25, -0.87750, -61.342, 2.010603E+02
   26, -0.87250, -60.750, 2.019694E+02
   27, -0.86750, -60.169, 2.026797E+02
   28, -0.86250, -59.598, 2.032542E+02
   29, -0.85750, -59.037, 2.040098E+02
   30, -0.85250, -58.485, 2.048706E+02
   31, -0.84750, -57.941, 2.057094E+02
   32, -0.84250, -57.405, 2.064955E+02
   33, -0.83750, -56.877, 2.072099E+02
   34, -0.83250, -56.356, 2.078910E+02
   35, -0.82750, -55.843, 2.085576E+02
   36, -0.82250, -55.336, 2.092401E+02
   37, -0.81750, -54.835, 2.099492E+02
   38, -0.81250, -54.341, 2.106868E+02
   39, -0.80750, -53.852, 2.114499E+02
   40, -0.80250, -53.370, 2.121833E+02
   41, -0.79750, -52.892, 2.128688E+02
   42, -0.79250, -52.420, 2.135370E+02
   43, -0.78750, -51.952, 2.142016E+02
   44, -0.78250, -51.490, 2.148678E+02
   45, -0.77750, -51.032, 2.155391E+02
   46, -0.77250, -50.579, 2.162186E+02
   47, -0.76750, -50.130, 2.169102E+02
   48, -0.76250, -49.685, 2.176134E+02
   49, -0.75750, -49.244, 2.183267E+02
   50, -0.75250, -48.807, 2.190499E+02
   51, -0.74750, -48.374, 2.197836E+02
   52, -0.74250, -47.945, 2.205277E+02
   53, -0.73750, -47.519, 2.212746E+02
   54, -0.73250, -47.096, 2.220193E+02
   55, -0.72750, -46.677, 2.227635E+02
   56, -0.72250, -46.261, 2.235104E+02
   57, -0.71750, -45.848, 2.242605E+02
   58, -0.71250, -45.439, 2.250147E+02
   59, -0.70750, -45.032, 2.257733E+02
   60, -0.70250, -44.628, 2.265378E+02
   61, -0.69750, -44.227, 2.273105E+02
   62, -0.69250, -43.828, 2.280911E+02
   63, -0.68750, -43.433, 2.288781E+02
   64, -0.68250, -43.039, 2.296711E+02
   65, -0.67750, -42.649, 2.304662E+02
   66, -0.67250, -42.260, 2.312572E+02
