    i,        x,     lat,toa_sw_all_mon
    1, -0.99750, -85.948, 1.192075E+02
    2, -0.99250, -82.978, 1.207357E+02
    3, -0.98750, -80.931, 1.225590E+02
    4, -0.98250, -79.265, 1.240170E+02
    5, -0.97750, -77.823, 1.231754E+02
    6, -0.97250, -76.532, 1.227084E+02
    7, -0.96750, -75.353, 1.238562E+02
    8, -0.96250, -74.259, 1.239184E+02
    9, -0.95750, -73.236, 1.239386E+02
   10, -0.95250, -72.270, 1.248424E+02
   11, -0.94750, -71.352, 1.253285E+02
   12, -0.94250, -70.476, 1.252243E+02
   13, -0.93750, -69.636, 1.239406E+02
   14, -0.93250, -68.828, 1.230899E+02
   15, -0.92750, -68.048, 1.224758E+02
   16, -0.92250, -67.294, 1.213693E+02
   17, -0.91750, -66.563, 1.193768E+02
   18, -0.91250, -65.853, 1.173873E+02
   19, -0.90750, -65.162, 1.158618E+02
   20, -0.90250, -64.489, 1.146746E+02
   21, -0.89750, -63.831, 1.131389E+02
   22, -0.89250, -63.189, 1.119840E+02
   23, -0.88750, -62.561, 1.113836E+02
   24, -0.88250, -61.945, 1.109370E+02
   25, -0.87750, -61.342, 1.106035E+02
   26, -0.87250, -60.750, 1.103354E+02
   27, -0.86750, -60.169, 1.098188E+02
   28, -0.86250, -59.598, 1.091335E+02
   29, -0.85750, -59.037, 1.087219E+02
   30, -0.85250, -58.485, 1.084819E+02
   31, -0.84750, -57.941, 1.082420E+02
   32, -0.84250, -57.405, 1.080827E+02
   33, -0.83750, -56.877, 1.080582E+02
   34, -0.83250, -56.356, 1.081383E+02
   35, -0.82750, -55.843, 1.083047E+02
   36, -0.82250, -55.336, 1.084824E+02
   37, -0.81750, -54.835, 1.086339E+02
   38, -0.81250, -54.341, 1.086023E+02
   39, -0.80750, -53.852, 1.083596E+02
   40, -0.80250, -53.370, 1.082577E+02
   41, -0.79750, -52.892, 1.084113E+02
   42, -0.79250, -52.420, 1.086099E+02
   43, -0.78750, -51.952, 1.087583E+02
   44, -0.78250, -51.490, 1.088480E+02
   45, -0.77750, -51.032, 1.088731E+02
   46, -0.77250, -50.579, 1.088808E+02
   47, -0.76750, -50.130, 1.089344E+02
   48, -0.76250, -49.685, 1.090089E+02
   49, -0.75750, -49.244, 1.090321E+02
   50, -0.75250, -48.807, 1.089977E+02
   51, -0.74750, -48.374, 1.088927E+02
   52, -0.74250, -47.945, 1.087148E+02
   53, -0.73750, -47.519, 1.085095E+02
   54, -0.73250, -47.096, 1.083055E+02
   55, -0.72750, -46.677, 1.080874E+02
   56, -0.72250, -46.261, 1.078193E+02
   57, -0.71750, -45.848, 1.075059E+02
   58, -0.71250, -45.439, 1.072159E+02
   59, -0.70750, -45.032, 1.069684E+02
   60, -0.70250, -44.628, 1.067209E+02
   61, -0.69750, -44.227, 1.064147E+02
   62, -0.69250, -43.828, 1.060536E+02
   63, -0.68750, -43.433, 1.056691E+02
   64, -0.68250, -43.039, 1.052684E+02
   65, -0.67750, -42.649, 1.048562E+02
   66, -0.67250, -42.260, 1.044396E+02
   67, -0.66750, -41.874, 1.040176E+02
   68, -0.66250, -41.491, 1.035748E+02
   69, -0.65750, -41.109, 1.031066E+02
   70, -0.65250, -40.730, 1.026260E+02
   71, -0.64750, -40.353, 1.021709E+02
   72, -0.64250, -39.978, 1.017435E+02
   73, -0.63750, -39.606, 1.013545E+02
   74, -0.63250, -39.235, 1.010122E+02
   75, -0.62750, -38.866, 1.007095E+02
   76, -0.62250, -38.499, 1.003637E+02
   77, -0.61750, -38.134, 9.995161E+01
   78, -0.61250, -37.770, 9.947146E+01
   79, -0.60750, -37.409, 9.891686E+01
   80, -0.60250, -37.049, 9.828719E+01
   81, -0.59750, -36.691, 9.763336E+01
   82, -0.59250, -36.335, 9.704127E+01
   83, -0.58750, -35.980, 9.651230E+01
   84, -0.58250, -35.627, 9.604391E+01
   85, -0.57750, -35.275, 9.563404E+01
   86, -0.57250, -34.925, 9.528187E+01
   87, -0.56750, -34.576, 9.496306E+01
   88, -0.56250, -34.229, 9.466624E+01
   89, -0.55750, -33.883, 9.438562E+01
   90, -0.55250, -33.539, 9.404636E+01
   91, -0.54750, -33.196, 9.362550E+01
   92, -0.54250, -32.854, 9.314179E+01
   93, -0.53750, -32.514, 9.275063E+01
